LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(inch),(inch),(inch),(sec),,(inch),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID8320,8320,,34.569732666015625,11.26278138528622,73.72621288721648,0.0,0.0,0,1.5,1,,1050.3501805054152,991.0,276.0,2415.0,290947.0,491.1733918305822,0.5085632418381674,1.4418189316789156
ID8321,8321,,51.804866790771484,30.741247431457225,75.09858578909042,0.0,0.0,0,1.5,1,,1475.7003610108304,1447.0,391.0,2943.0,408769.0,652.1988675164381,0.6019172664891818,1.7003755749383638
ID8322,8322,,18.738187789916992,13.014464716608583,77.01060626887747,0.0,0.0,0,1.5,1,,640.6750902527076,572.0,238.0,1444.0,177467.0,308.09616862861685,0.34686541683699285,1.0710711883160913
ID8323,8323,,36.94871139526367,6.306114047064394,77.1559204238354,0.0,0.0,0,1.5,1,,1136.0794223826715,1084.0,324.0,2741.0,314694.0,510.8531094809268,0.5251867269232605,1.5315577333332924
ID8324,8324,,31.30557632446289,33.950172313378076,77.2552001115563,0.0,0.0,0,1.5,1,,1063.5595667870036,1031.0,298.0,2540.0,294606.0,511.849942157629,0.4998177099486481,1.3849124466901372
ID8325,8325,,47.4445686340332,2.1458133305375697,77.69965526714013,0.0,0.0,0,1.5,1,,1278.6317689530686,1187.0,418.0,3111.0,354181.0,617.3867097871963,0.6008112300981637,1.5545909294583655
ID8326,8326,,38.970211029052734,17.288895763082213,78.8176826377677,0.0,0.0,0,1.5,1,,1035.6245487364622,929.0,284.0,2390.0,286868.0,524.3597094575654,0.6048705958246053,1.4887626713527347
ID8327,8327,,6.152334690093994,31.286687973685737,79.1047573143885,0.0,0.0,0,1.5,1,,495.971119133574,449.0,222.0,1070.0,137384.0,206.24861676262614,0.07522926649376925,0.33649691690326644
ID8328,8328,,25.456947326660156,26.476926307509064,80.46605091556549,0.0,0.0,0,1.5,1,,922.768953068592,867.0,323.0,1989.0,255607.0,368.41704675129176,0.4097267495228856,1.455937159738933
ID8329,8329,,15.162919998168945,22.407466058981434,81.54467565892537,0.0,0.0,0,1.5,1,,599.7400722021661,482.0,243.0,1692.0,166128.0,355.7847077653913,0.18556745451320839,0.5276929930658952
ID8330,8330,,17.46138572692871,33.075238445981725,82.16760654686112,0.0,0.0,0,1.5,1,,536.6750902527076,449.0,225.0,1227.0,148659.0,269.3565249431137,0.4341378842613631,1.2062871745063823
ID8331,8331,,22.77454376220703,25.29034231073396,82.92080921387851,0.0,0.0,0,1.5,1,,945.5415162454874,840.0,235.0,2143.0,261915.0,431.3873674206935,0.2895665726956651,0.9843461193788272
ID8332,8332,,36.78851318359375,14.37635461889046,83.18555821071837,0.0,0.0,0,1.5,1,,1014.6209386281588,939.0,305.0,2099.0,281050.0,493.0345153517159,0.5660823375336353,1.487721042262151
ID8333,8333,,22.724294662475586,18.541066840460722,83.2573285360871,0.0,0.0,0,1.5,1,,622.1407942238267,433.0,210.0,2002.0,172333.0,433.3861680820861,0.3958622859519301,0.8142264071951151
ID8334,8334,,54.07509231567383,9.148636181688321,83.68657761063456,0.0,0.0,0,1.5,1,,1448.6967509025271,1329.0,432.0,3612.0,401289.0,723.0986725997303,0.535564550246439,1.3975059406040409
ID8335,8335,,20.65184783935547,8.725215762801247,86.73705462395081,0.0,0.0,0,1.5,1,,851.7942238267148,760.0,247.0,2371.0,235947.0,433.04461927768534,0.22092426036543072,0.7118471094833356
ID8336,8336,,50.41922378540039,3.7639539321060473,86.88656421449171,0.0,0.0,0,1.5,1,,1243.0,1066.0,321.0,2849.0,344311.0,658.9587636369313,0.6199204961459622,1.4437273414027623
ID8337,8337,,49.36418914794922,21.545112491539697,87.79899080799314,0.0,0.0,0,1.5,1,,1398.231046931408,1301.0,342.0,3097.0,387310.0,687.1884517095949,0.5470351134701755,1.438957997370527
ID8338,8338,,8.557476997375488,31.065518827043515,87.71623299963268,0.0,0.0,0,1.5,1,,371.1949458483754,304.0,190.0,983.0,102821.0,179.2154750463869,0.22687373332587618,0.7660213801923886
ID8339,8339,,16.47840118408203,12.209827725271632,88.01116084725169,0.0,0.0,0,1.5,1,,515.1841155234657,373.0,227.0,1729.0,142706.0,324.33776236293437,0.33778575812441153,0.8021391438528495
ID8340,8340,,27.25210189819336,18.41133794977393,89.27631757933888,0.0,0.0,0,1.5,1,,807.9675090252707,613.0,206.0,2607.0,223807.0,544.6625823853302,0.374822665417272,0.8088640114714132
ID8341,8341,,7.639151573181152,8.12499999490683,92.94999994173413,0.0,0.0,0,1.5,1,,278.36462093862815,249.0,0.0,919.0,77107.0,194.0961416979941,0.35008973517181,0.7437789317999621
ID8342,8342,,52.95107650756836,24.049999984924217,92.94999994173413,0.0,0.0,0,1.5,1,,1063.462093862816,904.0,0.0,3011.0,294579.0,788.6164936782623,0.7515422249711049,1.1572279886397645
ID8343,8343,,32.26124572753906,33.149999979219864,92.94999994173413,0.0,0.0,0,1.5,1,,1488.3682310469314,1667.0,0.0,2773.0,412278.0,757.0561799277431,0.414883930560174,1.1529701877667962
ID8249,8249,,32.78071975708008,16.552530571497375,1.711398631785504,0.0,0.0,0,1.5,1,,1052.4548736462093,1027.0,258.0,2179.0,291530.0,469.04622113143944,0.5075734070092993,1.510908728175236
